编号,软件名称,授权类型,是否主程序,是否需要监控,软件许可协议网页,Remark,软件厂商
5275,PDF Architect 7,,,,,,pdfforge GmbH
5276,PDF Architect 9,,,,,,pdfforge GmbH
5277,PDF Conversion Suite,,,,,,Tiny Smart Apps
5278,PDF Converter Pro - Free,,,,,,CoolLeGet Inc
5279,PDF Edit All,,,,,,长沙市众帮网络科技有限公司
5280,PDF Expert,,,,,,Readdle Technologies Limited
5281,PDF Expert Installer,,,,,,Readdle Technologies Limited
5282,PDF Reader,,,,,,Mac App Store
5283,"PDF Reader - View, Edit, Annotate",,,,,,Apryse Software Inc.
5284,PDF Reader - 文件阅读、档案管理和标注,,,,,,Kdan Mobile Software Ltd.
5285,PDF Reader Pro-Your PDF Office,,,,,,"PDF Technologies, Inc."
5286,PDF Watermark Remover version 5.8.8.8,,,,,,www.ilike-Share.com
5287,PDF X,,,,,,NG PDF Lab
5288,PDF24 Creator 11.22.0,,,,,,#N/A
5289,PDF24 Creator 11.25.1,,,,,,geek software GmbH
5290,PDFCreator,,,,,,pdfforge GmbH
5291,pdfFactory Pro,,,,,,"FinePrint Software, LLC"
5293,PDFsam Basic,,,,,,Sober Lemur S.a.s. di Vacondio Andrea
5294,pdftopdf,,,,,,#N/A
5295,PDF-XChange 2012,,,,,,Tracker Software Products Ltd
5296,PDF-XChange 4 Pro,,,,,,#N/A
5297,PDF-XChange Viewer,,,,,,Tracker Software Products (Canada) Ltd.
5298,PDF编辑转换器,,,,,,Sogou.com
5299,PDF快速看图 v4.2.2.45,,,,,,北京鸿鹄云图科技股份有限公司
5302,PDF转JPG——免费在线将PDF转成图像,,,,,,smallpdf.com
5303,pdf转换成word转换器 版本 5.0,,,,,,上海互盾科技有限公司
5304,PDManer 4.9.4,,,,,,qliu
5305,Penelope Dobby,,,,,,Informatica Textil
,,,,,,,Unknown
5306,People,,,,,,Apple
5307,PeopleMessageService,,,,,,Passmark Software
5308,PerformanceTest v9.0,,,,,,Pervasive Software
5309,Pervasive PSQL v10.10 Client (32-bit),,,,,,'-
5310,Pervasive System Analyzer,,,,,,Pervasive Software Inc.
5311,Pervasive.SQL 9 SP2 Client for Windows (9.5),,,,,,Pervasive Software Inc.
5312,Pervasive.SQL Client v8.70,,,,,,Saia-Burgess Controls AG
5313,PG5 Suite V2.3.193,,,,,,Mobile
5319,Phone F USB Driver,,,,,,Apple
5320,Photo Booth,,,,,,Apple
5321,Photo Library Migration Utility,,,,,,Define Studio
5322,Photo Scan,,,,,,NCH Software
5323,PhotoPad图像编辑器,,,,,,Unknown
5324,Photos,,,,,,Media Life
5325,Photos Opener For Win10,,,,,,"Kashi Guangxun Network Technology Co., Ltd."
5326,Photoshop助手,,,,,,Apple
5327,PhotosViewService,,,,,,安徽小皮教育科技有限公司
5328,phpstudy集成环境,,,,,,#N/A
5329,PHSP_18_1_6,,,,,,#N/A
5330,PHSP_21_2_4,,,,,,Adobe Inc. 
5331,PHSP_22_2,,,,,,Adobe Inc. 
5332,PHSP_23_1_1_32,,,,,,Adobe Inc. 
5333,PHSP_23_1_32,,,,,,Adobe Inc. 
5334,PHSP_23_5_2_32,,,,,,Adobe Inc. 
5335,PHSP_24_0_32,,,,,,#N/A
5336,PHSP_25_12_1_32,,,,,,Adobe Inc. 
5337,PHSP_25_12_32,,,,,,Adobe Inc. 
5338,PHSP_26_0_32,,,,,,Adobe Inc. 
5339,PHSP_26_1_32,,,,,,Adobe Inc. 
5340,PHSP_26_2_32,,,,,,Adobe Inc. 
5341,PHSP_26_4_1_32,,,,,,Adobe Inc.
5342,PHSP_26_7_32,,,,,,Adobe Inc.
5343,PHSP_26_8_32,,,,,,Adobe Inc. 
5344,PHSPBETA_24_6_32,,,,,,Picanol NV
5345,Picanol PC Suite,,,,,,NGWIN
5346,PicPick,,,,,,Pinterest Inc.
5347,Pinterest,,,,,,Apple
5348,PIPAgent,,,,,,#N/A
5349,PixelSee,,,,,,"Shenzhen Shendu Tujing Technology Co., Ltd."
5350,PixPin 版本 1.7.6.0,,,,,,"Shenzhen Shendu Tujing Technology Co., Ltd."
5351,PixPin 版本 2.0.0.3,,,,,,FaronStudio
5352,PixPlant 5.0.37,,,,,,FaronStudio
5353,PixPlant 5.0.42,,,,,,FaronStudio
5354,PixPlant 5.0.49,,,,,,pixso.cn
5355,Pixso,,,,,,Bosyun
5356,Pixso 2.0.0,,,,,,"PKWARE, Inc"
5357,PKZIP Server for Windows 12.40.0008,,,,,,Prolific Technology INC
5358,PL-2303 USB-to-Serial,,,,,,Prolific Technology Inc.
5359,PL-2303 USB-to-Serial Driver,,,,,,Prolific
5360,PL-2303 Vista Driver Installer,,,,,,PlayCtrl Builder
5361,PlayCtrl,,,,,,Virtual Pulse
5362,Player,,,,,,'-
5363,Plot 155,,,,,,'-
5364,Plot 156,,,,,,PAD System International Ltd
5365,Plot Manager 6.0,,,,,,PAD System International Ltd
5366,Plot Manager 7.0,,,,,,'-
5367,Plot251,,,,,,Unknown
5368,Plot257,,,,,,Unknown
5369,PlotNetwork 4.5.3.1 En,,,,,,#N/A
5370,PLSQL Developer,,,,,,Allround Automations
5371,PLSQL Developer 13 (64 bit),,,,,,Apple
5372,PluginIM,,,,,,Plustek Inc.
5373,Plustek OpticBook A300E,,,,,,Plustek Inc.
5374,Plustek OpticBook A300L,,,,,,"深圳市中电电力技术股份有限公司, Inc."
5376,PMC-EasyCom 1.3.0,,,,,,"深圳市中电电力技术股份有限公司, Inc."
5377,PMC-EasyConfig 2.6.0,,,,,,"深圳市中电电力技术股份有限公司, Inc."
5378,PMC-Upgrader 1.3.1,,,,,,"LLC ""CREATIVE WORKSHOP"""
5379,Pocket Sketchbook,,,,,,PEAN Studio
5380,PocketAnimation口袋动画,,,,,,Apple
5381,PodcastsAuthAgent,,,,,,Amerigomedia
5387,Pointofix,,,,,,"Poly, Inc."
5388,Poly Lens,,,,,,"Polycom, Inc."
5389,Polycom Content App,,,,,,公司名称
5390,Polycom Pano App,,,,,,POLYV云直播(64位)
5391,POLYV云直播(64位),,,,,,POLYV直播助手(64位)
5392,POLYV直播助手(64位),,,,,,Pomotodo
5393,Pomotodo版本3.2.3,,,,,,"POP, Inc."
5394,POP 客户端 版本 2.1.2,,,,,,"POP, Inc."
5395,POP 客户端 版本 2.1.4,,,,,,"POP, Inc."
5396,POP 客户端 版本 2.1.5,,,,,,Mac App Store
5397,POP客户端,,,,,,POP
5398,POP客户端 version 2.0,,,,,,"POP, Inc."
5399,POP客户端 版本 2.0.3,,,,,,"POP, Inc."
5400,POP客户端 版本 2.0.4,,,,,,"POP, Inc."
5401,POP客户端 版本 2.1.0,,,,,,Kakao Corp.
5437,Potplayer,,,,,,Kakao Corp.
5438,PotPlayer-64 bit,,,,,,'-
5439,Pot播放器,,,,,,Microsoft Corp.
5440,Power Apps,,,,,,Microsoft Corporation
5441,Power Automate Desktop Copilot Plugin,,,,,,Microsoft Corporation
5442,Power Automate for desktop,,,,,,Microsoft Corporation
5443,Power Automate Process Mining,,,,,,Microsoft Corporation
5444,Power BI,,,,,,Microsoft Corporation
5445,Power BI Report Builder,,,,,,Kingsoft Corporation
5447,Power Word 2016.1.0.1,,,,,,Apple
5449,PowerChime,,,,,,Fluke Corporation
5451,PowerLog 430-II 5.8,,,,,,Microsoft Corporation 
5452,PowerPoint,,,,,,PowerPointAddIn
5453,PowerpointAddIn,,,,,,Microsoft Corporation
5454,PowerShell 6-x64,,,,,,Microsoft Corporation
5455,PowerShell 7-preview-x64,,,,,,Microsoft Corporation
5456,PowerShell 7-x64,,,,,,Microsoft Corporation
5457,PowerToys (Preview) x64,,,,,,Microsoft
5458,PowerToys FileLocksmith Context Menu,,,,,,Microsoft
5459,PowerToys ImageResizer Context Menu,,,,,,Microsoft
5460,PowerToys PowerRename Context Menu,,,,,,'-
5461,PowerWord 2002 Share,,,,,,Adobe Inc. 
5462,PPRO_22_1_2_32,,,,,,Adobe Inc. 
5463,PPRO_22_6_2_32,,,,,,Adobe Inc. 
5464,PPRO_23_0_32,,,,,,Adobe Inc. 
5465,PPRO_23_2_32,,,,,,Adobe Inc. 
5466,PPRO_25_1_32,,,,,,Adobe Inc.
